value,method,pooling_level,time_unit,resistance_threshold,dpval,sampling_intensity,time_in_days,true_value,delay_in_days,method_name
12,gisp,monthly,month,0.13,30,20,390,0.0,390.0,Culture
10,gisp,monthly,month,0.13,30,40,330,0.0,330.0,Culture
7,gisp,monthly,month,0.13,30,80,240,0.0,240.0,Culture
13,gisp,monthly,month,0.14,30,25,420,35.0,385.0,Culture
5,naats,monthly,month,0.14,30,0.05,180,35.0,145.0,NAAT remnants
5,naats,monthly,month,0.14,30,0.1,180,35.0,145.0,NAAT remnants
4,naats,monthly,month,0.14,30,0.2,150,35.0,115.0,NAAT remnants
3,naats,monthly,month,0.14,30,0.4,120,35.0,85.0,NAAT remnants
3,naats,monthly,month,0.14,30,0.8,120,35.0,85.0,NAAT remnants
21,gisp,monthly,month,0.14,30,5,660,35.0,625.0,Culture
20,gisp,monthly,month,0.14,30,10,630,35.0,595.0,Culture
12,gisp,monthly,month,0.14,30,20,390,35.0,355.0,Culture
10,gisp,monthly,month,0.14,30,40,330,35.0,295.0,Culture
8,gisp,monthly,month,0.14,30,80,270,35.0,235.0,Culture
13,gisp,monthly,month,0.15,30,25,420,66.0,354.0,Culture
6,naats,monthly,month,0.15,30,0.05,210,66.0,144.0,NAAT remnants
5,naats,monthly,month,0.15,30,0.1,180,66.0,114.0,NAAT remnants
4,naats,monthly,month,0.15,30,0.2,150,66.0,84.0,NAAT remnants
4,naats,monthly,month,0.15,30,0.4,150,66.0,84.0,NAAT remnants
4,naats,monthly,month,0.15,30,0.8,150,66.0,84.0,NAAT remnants
21,gisp,monthly,month,0.15,30,5,660,66.0,594.0,Culture
20,gisp,monthly,month,0.15,30,10,630,66.0,564.0,Culture
12,gisp,monthly,month,0.15,30,20,390,66.0,324.0,Culture
10,gisp,monthly,month,0.15,30,40,330,66.0,264.0,Culture
9,gisp,monthly,month,0.15,30,80,300,66.0,234.0,Culture
13,gisp,monthly,month,0.16,30,25,420,95.0,325.0,Culture
8,naats,monthly,month,0.16,30,0.05,270,95.0,175.0,NAAT remnants
6,naats,monthly,month,0.16,30,0.1,210,95.0,115.0,NAAT remnants
6,naats,monthly,month,0.16,30,0.2,210,95.0,115.0,NAAT remnants
5,naats,monthly,month,0.16,30,0.4,180,95.0,85.0,NAAT remnants
5,naats,monthly,month,0.16,30,0.8,180,95.0,85.0,NAAT remnants
